end_date,answer,pct
September-19,Sanders,44
September-19,Sanders,52.5
September-19,Sanders,48
September-19,Sanders,52
September-19,Sanders,52
August-19,Sanders,49
August-19,Sanders,48
August-19,Sanders,52
August-19,Sanders,53
August-19,Sanders,41
August-19,Sanders,40
August-19,Sanders,48
August-19,Sanders,54.8
August-19,Sanders,40
August-19,Sanders,47
August-19,Sanders,34
August-19,Sanders,48
August-19,Sanders,44
August-19,Sanders,38
August-19,Sanders,51
August-19,Sanders,44
August-19,Sanders,50
August-19,Sanders,62
August-19,Sanders,47
August-19,Sanders,42.2
August-19,Sanders,44
August-19,Sanders,50.6
August-19,Sanders,50
August-19,Sanders,54.2
August-19,Sanders,46
July-19,Sanders,51.2
July-19,Sanders,39.2
July-19,Sanders,39
July-19,Sanders,46
July-19,Sanders,45
July-19,Sanders,48
July-19,Sanders,50
July-19,Sanders,51
July-19,Sanders,51
July-19,Sanders,49
June-19,Sanders,53
June-19,Sanders,54.6
June-19,Sanders,39
June-19,Sanders,48
June-19,Sanders,48
June-19,Sanders,34
June-19,Sanders,47
June-19,Sanders,44
June-19,Sanders,41
June-19,Sanders,35
June-19,Sanders,49
June-19,Sanders,47
June-19,Sanders,51
June-19,Sanders,42
June-19,Sanders,44.7
June-19,Sanders,44
June-19,Sanders,46
June-19,Sanders,44
June-19,Sanders,53.8
May-19,Sanders,53.2
May-19,Sanders,38
May-19,Sanders,47
May-19,Sanders,48.6
May-19,Sanders,46
May-19,Sanders,50
May-19,Sanders,54
May-19,Sanders,49
May-19,Sanders,37
April-19,Sanders,37
April-19,Sanders,48.9
April-19,Sanders,50
April-19,Sanders,49
April-19,Sanders,52
April-19,Sanders,52
April-19,Sanders,51
April-19,Sanders,51.5
April-19,Sanders,39
April-19,Sanders,44
April-19,Sanders,45
April-19,Sanders,63.8
April-19,Sanders,41
March-19,Sanders,48.6
March-19,Sanders,49
March-19,Sanders,54.6
March-19,Sanders,50.9
March-19,Sanders,45.5
March-19,Sanders,48
March-19,Sanders,45
March-19,Sanders,44
March-19,Sanders,44
March-19,Sanders,50.9
March-19,Sanders,40
March-19,Sanders,52.1
March-19,Sanders,48.4
March-19,Sanders,46
March-19,Sanders,49.8
March-19,Sanders,49.6
March-19,Sanders,46
March-19,Sanders,52.5
March-19,Sanders,48.9
March-19,Sanders,46.1
March-19,Sanders,42.2
February-19,Sanders,45
February-19,Sanders,50
February-19,Sanders,55
February-19,Sanders,48.1
February-19,Sanders,51.3
February-19,Sanders,37
February-19,Sanders,34
February-19,Sanders,49.5
February-19,Sanders,48
February-19,Sanders,43
January-19,Sanders,52
January-19,Sanders,51
January-19,Sanders,54.1
January-19,Sanders,48
December-18,Sanders,38
November-18,Sanders,47
