end_date,answer,pct
January-20,Trump,40
January-20,Trump,40
January-20,Trump,41
January-20,Trump,41
January-20,Trump,41
January-20,Trump,41
January-20,Trump,43
January-20,Trump,50
January-20,Trump,49.6
January-20,Trump,48.6
January-20,Trump,50.4
January-20,Trump,50.9
January-20,Trump,44
January-20,Trump,44
January-20,Trump,45
January-20,Trump,43
January-20,Trump,45
January-20,Trump,44
January-20,Trump,46
January-20,Trump,47
January-20,Trump,48
January-20,Trump,46
January-20,Trump,48
January-20,Trump,47
January-20,Trump,45
January-20,Trump,46
January-20,Trump,46
January-20,Trump,47
January-20,Trump,48
January-20,Trump,47
January-20,Trump,43
January-20,Trump,44
January-20,Trump,43
January-20,Trump,41
January-20,Trump,50
January-20,Trump,51
January-20,Trump,41
January-20,Trump,42
January-20,Trump,42
January-20,Trump,41
January-20,Trump,41
January-20,Trump,42
January-20,Trump,49
January-20,Trump,50
January-20,Trump,50
January-20,Trump,48
January-20,Trump,49
January-20,Trump,45
January-20,Trump,40.2
January-20,Trump,46.1
January-20,Trump,46.3
January-20,Trump,44.9
January-20,Trump,47.1
January-20,Trump,56
January-20,Trump,54
January-20,Trump,55
January-20,Trump,56
January-20,Trump,44
January-20,Trump,43
January-20,Trump,45
January-20,Trump,45
January-20,Trump,45
January-20,Trump,45
January-20,Trump,41
January-20,Trump,42
January-20,Trump,42
January-20,Trump,42
January-20,Trump,42
January-20,Trump,51
January-20,Trump,50
January-20,Trump,50
January-20,Trump,51
January-20,Trump,41
January-20,Trump,43
January-20,Trump,46
January-20,Trump,47
January-20,Trump,47
January-20,Trump,47
January-20,Trump,46
January-20,Trump,43
January-20,Trump,43
January-20,Trump,44
January-20,Trump,45
January-20,Trump,43
January-20,Trump,42
January-20,Trump,45
January-20,Trump,44
January-20,Trump,44
January-20,Trump,44
January-20,Trump,35
January-20,Trump,37
January-20,Trump,39
January-20,Trump,36
January-20,Trump,36
January-20,Trump,38
January-20,Trump,37
January-20,Trump,37
January-20,Trump,38
January-20,Trump,46
January-20,Trump,47
January-20,Trump,44
January-20,Trump,45
January-20,Trump,45
January-20,Trump,43
January-20,Trump,42
January-20,Trump,48.6
January-20,Trump,47.1
January-20,Trump,50
January-20,Trump,49.2
January-20,Trump,45
January-20,Trump,46
January-20,Trump,48
January-20,Trump,46
January-20,Trump,41
January-20,Trump,42
January-20,Trump,41
January-20,Trump,42
January-20,Trump,42
January-20,Trump,49
January-20,Trump,50
January-20,Trump,49
January-20,Trump,50
January-20,Trump,46
January-20,Trump,47
January-20,Trump,47
January-20,Trump,46
January-20,Trump,45
January-20,Trump,66
January-20,Trump,66
January-20,Trump,59
January-20,Trump,59
January-20,Trump,39
January-20,Trump,41
January-20,Trump,42
January-20,Trump,40
January-20,Trump,41
January-20,Trump,42
January-20,Trump,42
January-20,Trump,41
January-20,Trump,43.2
January-20,Trump,44.8
January-20,Trump,44
January-20,Trump,43.2
January-20,Trump,41.2
January-20,Trump,45.7
January-20,Trump,41.2
January-20,Trump,45.7
January-20,Trump,44.8
January-20,Trump,40
January-20,Trump,42
January-20,Trump,41
January-20,Trump,41
January-20,Trump,43
January-20,Trump,46
January-20,Trump,47
January-20,Trump,47
January-20,Trump,47
January-20,Trump,35.2
January-20,Trump,32.3
January-20,Trump,35.7
January-20,Trump,33.4
December-19,Trump,49
December-19,Trump,48
December-19,Trump,49
December-19,Trump,49
December-19,Trump,51
December-19,Trump,54
December-19,Trump,52
December-19,Trump,52
December-19,Trump,35
December-19,Trump,36
December-19,Trump,36
December-19,Trump,36
December-19,Trump,35
December-19,Trump,36
December-19,Trump,37
December-19,Trump,38
December-19,Trump,45
December-19,Trump,48.4
December-19,Trump,47.9
December-19,Trump,49.1
December-19,Trump,50.2
December-19,Trump,45
December-19,Trump,48
December-19,Trump,51
December-19,Trump,47
December-19,Trump,45
December-19,Trump,51
December-19,Trump,49
December-19,Trump,49
December-19,Trump,44
December-19,Trump,46
December-19,Trump,45
December-19,Trump,46
December-19,Trump,44
December-19,Trump,44.2
December-19,Trump,44.9
December-19,Trump,43
December-19,Trump,42.7
December-19,Trump,45
December-19,Trump,48
December-19,Trump,49
December-19,Trump,46
December-19,Trump,47
December-19,Trump,49
December-19,Trump,44
December-19,Trump,47
December-19,Trump,46
December-19,Trump,46
December-19,Trump,48
December-19,Trump,47
December-19,Trump,46
December-19,Trump,47
December-19,Trump,48
December-19,Trump,41
December-19,Trump,45
December-19,Trump,43
December-19,Trump,42
December-19,Trump,40
December-19,Trump,49
December-19,Trump,49.7
December-19,Trump,50.1
December-19,Trump,46.1
December-19,Trump,42
December-19,Trump,43
December-19,Trump,43
December-19,Trump,43
December-19,Trump,43
December-19,Trump,42
December-19,Trump,48
December-19,Trump,50
December-19,Trump,50
December-19,Trump,51
December-19,Trump,46
December-19,Trump,47
December-19,Trump,47
December-19,Trump,45
December-19,Trump,44
December-19,Trump,36
December-19,Trump,36
December-19,Trump,38
December-19,Trump,37
December-19,Trump,46
December-19,Trump,47
December-19,Trump,45
December-19,Trump,44
December-19,Trump,44
December-19,Trump,48.24
December-19,Trump,49.92
December-19,Trump,50.95
December-19,Trump,49.36
December-19,Trump,48.96
December-19,Trump,46.28
December-19,Trump,47.44
December-19,Trump,47.56
December-19,Trump,47.94
December-19,Trump,47.83
December-19,Trump,45.48
December-19,Trump,47.14
December-19,Trump,48.03
December-19,Trump,46.11
December-19,Trump,44.78
December-19,Trump,47
December-19,Trump,46
December-19,Trump,45
December-19,Trump,47
December-19,Trump,47
November-19,Trump,47.7
November-19,Trump,48.4
November-19,Trump,51.2
November-19,Trump,47
November-19,Trump,50.8
November-19,Trump,41.6
November-19,Trump,42.4
November-19,Trump,43
November-19,Trump,40.5
November-19,Trump,41.6
November-19,Trump,32
November-19,Trump,35
November-19,Trump,34
November-19,Trump,35
